CG_ID,Name_KO,Category,Characters,Background,File_Path,Thumbnail_Path,Unlock_Condition,Is_Hidden,Description
# 이벤트 CG
CG_Prologue,프롤로그,Event,루아;이노,BG_Room_Night,CG/Event_Prologue.png,Thumbnails/CG_Prologue.png,Event_EVT_PROLOGUE,FALSE,게임 시작 - 루아의 등장
CG_Birthday_006,6세 생일,Event,루아;이노,BG_Room_Day,CG/Event_Birthday_006.png,Thumbnails/CG_Birthday_006.png,Event_EVT_BIRTHDAY_006,FALSE,루아의 6번째 생일
CG_Birthday_007,7세 생일,Event,루아;이노;아이린,BG_Room_Day,CG/Event_Birthday_007.png,Thumbnails/CG_Birthday_007.png,Event_EVT_BIRTHDAY_007,FALSE,루아의 7번째 생일
CG_Birthday_010,10세 생일,Event,루아;이노,BG_Room_Day,CG/Event_Birthday_010.png,Thumbnails/CG_Birthday_010.png,Event_EVT_BIRTHDAY_010,FALSE,루아의 10번째 생일 (크리스탈 선물)
CG_Birthday_013,13세 생일,Event,루아;이노;리안,BG_Street_Night,CG/Event_Birthday_013.png,Thumbnails/CG_Birthday_013.png,Event_EVT_BIRTHDAY_013,FALSE,루아의 13번째 생일 - 리안 첫 등장
CG_Birthday_015,15세 생일,Event,루아;이노,BG_Room_Night,CG/Event_Birthday_015.png,Thumbnails/CG_Birthday_015.png,Event_EVT_BIRTHDAY_015,FALSE,루아의 15번째 생일
CG_Birthday_016,16세 생일,Event,루아;이노,BG_Room_Night,CG/Event_Birthday_016.png,Thumbnails/CG_Birthday_016.png,Event_EVT_BIRTHDAY_016,FALSE,루아의 16번째 생일 (약속의 반지)
CG_Birthday_018,18세 생일,Event,루아;이노;아이린;카일;리안,BG_Room_Night,CG/Event_Birthday_018.png,Thumbnails/CG_Birthday_018.png,Event_EVT_BIRTHDAY_018,FALSE,루아의 18번째 생일 - 최종 선택

# 학교 CG
CG_School_Entrance,입학식,Event,루아,BG_School,CG/School_Entrance.png,Thumbnails/CG_School_Entrance.png,Event_EVT_SCHOOL_ENTRANCE,FALSE,학교 입학식
CG_School_Middle,중학교 입학,Event,루아;이노,BG_School,CG/School_Middle.png,Thumbnails/CG_School_Middle.png,Event_EVT_AGE_010_MIDDLE,FALSE,중학교 입학
