Simulation,Batch,Ending,TotalStats,Stress,Money,Age,Turns,HP,CHARM,INT,ART,MORALITY,Ino_Favor,Aileen_Favor,Kyle_Favor,Lian_Favor,Events_Count,Success
1,1,자유로운 영혼,2729,2,190,18,141,654,614,578,441,442,64,33,81,55,9,Yes
2,1,자유로운 영혼,2768,2,170,18,141,638,596,600,459,475,77,17,42,87,9,Yes
3,1,자유로운 영혼,2782,2,110,18,141,616,613,690,413,450,71,25,45,76,9,Yes
4,1,자유로운 영혼,2776,16,110,18,141,556,616,666,484,454,74,6,60,50,9,Yes
5,1,자유로운 영혼,2729,0,220,18,141,582,613,558,454,522,71,18,48,73,9,Yes
6,1,자유로운 영혼,2805,0,130,18,141,666,607,648,437,447,54,23,50,75,9,Yes
7,1,자유로운 영혼,2618,0,230,18,141,448,578,578,517,497,57,13,52,77,9,Yes
8,1,자유로운 영혼,2763,3,240,18,141,504,600,644,479,536,80,31,50,68,9,Yes
9,1,자유로운 영혼,2734,10,160,18,141,610,632,632,392,468,68,12,79,83,9,Yes
10,1,자유로운 영혼,2744,0,80,18,141,700,652,614,347,431,63,5,47,82,9,Yes
11,2,자유로운 영혼,2868,1,140,18,141,612,570,616,556,514,53,17,40,52,9,Yes
12,2,자유로운 영혼,2723,0,140,18,141,618,615,646,410,434,64,20,79,69,9,Yes
13,2,자유로운 영혼,2784,10,120,18,141,560,595,590,504,535,64,19,46,56,9,Yes
14,2,자유로운 영혼,2904,0,60,18,141,780,615,640,484,385,72,23,60,51,9,Yes
15,2,자유로운 영혼,2755,18,110,18,141,604,628,606,483,434,51,14,47,78,9,Yes
16,2,자유로운 영혼,2733,0,140,18,141,614,626,584,463,446,61,15,55,60,9,Yes
17,2,자유로운 영혼,2769,0,170,18,141,700,585,610,449,425,49,9,39,73,9,Yes
18,2,자유로운 영혼,2817,0,140,18,141,662,608,656,482,409,69,13,33,65,9,Yes
19,2,자유로운 영혼,2929,7,120,18,141,744,593,624,522,446,78,13,40,53,9,Yes
20,2,자유로운 영혼,2918,2,160,18,141,738,603,598,472,507,63,45,49,82,9,Yes
21,3,자유로운 영혼,2696,0,80,18,141,632,602,588,432,442,53,3,65,68,9,Yes
22,3,자유로운 영혼,2726,12,160,18,141,692,602,574,482,376,50,24,43,75,9,Yes
23,3,자유로운 영혼,2762,2,80,18,141,606,573,634,503,446,63,4,47,81,9,Yes
24,3,자유로운 영혼,2771,0,180,18,141,638,605,640,423,465,68,19,71,83,9,Yes
25,3,자유로운 영혼,2701,0,120,18,141,612,617,678,392,402,77,24,46,68,9,Yes
26,3,자유로운 영혼,2743,13,330,18,141,650,605,690,408,390,68,35,26,71,9,Yes
27,3,자유로운 영혼,2752,0,240,18,141,734,616,494,442,466,58,20,61,74,9,Yes
28,3,자유로운 영혼,2670,11,180,18,141,526,600,668,404,472,85,4,41,91,9,Yes
