Simulation,Batch,Ending,TotalStats,Stress,Money,Age,Turns,HP,CHARM,INT,ART,MORALITY,Ino_Favor,Aileen_Favor,Kyle_Favor,Lian_Favor,Events_Count,Success
1,1,자유로운 영혼,2866,0,140,18,141,686,602,668,463,447,55,20,45,66,9,Yes
2,1,자유로운 영혼,2784,0,170,18,141,636,602,684,441,421,85,43,33,61,9,Yes
3,1,자유로운 영혼,2905,12,120,18,141,710,608,742,432,413,63,4,63,62,9,Yes
4,1,자유로운 영혼,2709,0,100,18,141,702,586,602,476,343,63,15,54,97,9,Yes
5,1,자유로운 영혼,2749,19,200,18,141,614,632,630,383,490,48,9,56,50,9,Yes
6,1,자유로운 영혼,2851,2,190,18,141,716,612,634,478,411,47,40,64,74,9,Yes
7,1,자유로운 영혼,2690,0,210,18,141,630,583,594,417,466,53,24,55,59,9,Yes
8,1,자유로운 영혼,2805,7,70,18,141,640,589,646,501,429,58,29,35,70,9,Yes
9,1,자유로운 영혼,2817,0,170,18,141,652,601,698,404,462,51,2,42,100,9,Yes
10,1,자유로운 영혼,2726,2,190,18,141,624,632,626,390,454,81,36,36,69,9,Yes
11,2,자유로운 영혼,2670,11,130,18,141,550,617,674,413,416,81,18,35,60,9,Yes
12,2,자유로운 영혼,2772,2,140,18,141,650,610,594,477,441,73,39,50,70,9,Yes
13,2,자유로운 영혼,2791,0,150,18,141,760,613,566,493,359,60,5,30,58,9,Yes
14,2,자유로운 영혼,2668,18,100,18,141,526,603,606,424,509,85,4,36,68,9,Yes
15,2,자유로운 영혼,2825,0,70,18,141,510,630,672,500,513,96,11,51,71,9,Yes
16,2,자유로운 영혼,2713,3,250,18,141,580,604,636,409,484,70,14,48,75,9,Yes
17,2,자유로운 영혼,2828,23,230,18,141,666,594,594,478,496,55,0,58,50,9,Yes
18,2,자유로운 영혼,2729,1,220,18,141,582,631,694,416,406,55,16,41,79,9,Yes
19,2,자유로운 영혼,2899,0,80,18,141,766,617,634,456,426,72,9,46,50,9,Yes
20,2,자유로운 영혼,2755,0,90,18,141,622,615,692,413,413,66,14,37,79,9,Yes
21,3,자유로운 영혼,2753,6,160,18,141,760,615,596,473,309,57,14,56,57,9,Yes
22,3,자유로운 영혼,2775,0,110,18,141,562,648,636,395,534,72,29,32,62,9,Yes
23,3,자유로운 영혼,2896,0,220,18,141,726,611,714,374,471,63,7,66,60,9,Yes
24,3,자유로운 영혼,2711,18,150,18,141,618,594,646,454,399,74,18,55,50,9,Yes
25,3,자유로운 영혼,2701,5,50,18,141,568,605,670,488,370,62,15,50,50,9,Yes
26,3,자유로운 영혼,2758,0,200,18,141,592,622,644,494,406,67,16,59,82,9,Yes
27,3,자유로운 영혼,2775,21,80,18,141,632,605,638,433,467,74,29,47,59,9,Yes
28,3,자유로운 영혼,2816,0,110,18,141,534,634,688,478,482,58,27,51,58,9,Yes
29,3,자유로운 영혼,2766,0,140,18,141,708,621,584,397,456,84,2,32,86,9,Yes
30,3,자유로운 영혼,2788,9,170,18,141,648,617,604,458,461,59,11,28,70,9,Yes
31,4,자유로운 영혼,2769,0,160,18,141,500,612,602,482,573,70,35,42,65,9,Yes
32,4,자유로운 영혼,2772,8,70,18,141,654,606,556,482,474,57,10,54,68,9,Yes
33,4,자유로운 영혼,2725,22,100,18,141,636,629,540,425,495,69,28,73,82,9,Yes
34,4,자유로운 영혼,2714,0,140,18,141,592,602,714,335,471,78,14,43,52,9,Yes
35,4,자유로운 영혼,2765,8,50,18,141,692,628,654,440,351,48,30,43,84,9,Yes
36,4,자유로운 영혼,2845,17,150,18,141,756,645,650,419,375,78,29,25,62,9,Yes
