Simulation,Batch,Ending,TotalStats,Stress,Money,Age,Turns,HP,CHARM,INT,ART,MORALITY,Ino_Favor,Aileen_Favor,Kyle_Favor,Lian_Favor,Events_Count,Success
1,1,자유로운 영혼,2705,0,120,18,141,652,640,594,413,406,65,11,43,99,9,Yes
2,1,자유로운 영혼,2621,6,200,18,141,520,571,598,500,432,52,28,39,55,9,Yes
3,1,자유로운 영혼,2875,6,100,18,141,908,614,646,323,384,59,28,80,68,9,Yes
4,1,자유로운 영혼,2759,0,120,18,141,622,605,576,497,459,54,17,52,70,9,Yes
5,1,자유로운 영혼,2783,3,70,18,141,620,619,562,489,493,56,7,12,70,9,Yes
6,2,자유로운 영혼,2639,0,100,18,141,504,584,632,456,463,58,14,62,50,9,Yes
7,2,자유로운 영혼,2858,6,160,18,141,634,591,702,468,463,87,12,31,78,9,Yes
8,2,자유로운 영혼,2775,0,100,18,141,628,596,636,491,424,67,34,44,63,9,Yes
9,2,자유로운 영혼,2820,0,200,18,141,738,595,592,497,398,66,33,53,67,9,Yes
10,2,자유로운 영혼,2723,5,80,18,141,610,623,638,465,387,93,0,30,56,9,Yes
